Geographic Information Hemisphere|Geographic Information Continent|Geographic Information WHO region|Geographic Information FLU region|Geographic Information Country, area or territory|Geographic Information  Year|Geographic Information Week|Geographic Information Start date|Geographic Information End date|Geographic Information Age Group|Influenza like illness information Cases|Influenza like illness information Outpatients|Influenza like illness information Population covered|Influenza like illness information Outpatient Rate|Influenza like illness information Pop Rate|Influenza like illness information Sampled cases|Influenza like illness information Influenza positives|Influenza like illness information Influenza negatives|Influenza like illness information COVID-19 tested|Influenza like illness information COVID-19 positives|Influenza like illness information COVID-19 negatives|Influenza like illness information COVID-19 ratio|Severe acute respiratory infection information Cases|Severe acute respiratory infection information Inpatients|Severe acute respiratory infection information Population covered|Severe acute respiratory infection information Inpatient Rate|Severe acute respiratory infection information Pop Rate|Severe acute respiratory infection information Sampled cases|Severe acute respiratory infection information Influenza positives|Severe acute respiratory infection information Influenza negatives|Severe acute respiratory infection information COVID-19 tested|Severe acute respiratory infection information COVID-19 positives|Severe acute respiratory infection information COVID-19 negatives|Severe acute respiratory infection information COVID-19 ratio|Acute respiratory infection information Cases|Acute respiratory infection information Outpatients|Acute respiratory infection information Population covered|Acute respiratory infection information Outpatient Rate|Acute respiratory infection information Pop Rate|Pneumonia information Cases|Pneumonia information Inpatients|Pneumonia information Population covered|Pneumonia information Inpatient Rate|Pneumonia information Pop Rate|Qualitative indicators Geospread|Qualitative indicators Intensity|Qualitative indicators Trend|Qualitative indicators Impact
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|46|2019-11-11|2019-11-17|All|632|||||193|38|0|||||313|29152||1.07||292|12|12||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|45|2019-11-04|2019-11-10|All|721|||||204|50|0|||||277|29738||0.93||271|15|14||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|44|2019-10-28|2019-11-03|All|641|||||187|43|1|||||233|23300||1.00||219|7|5||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|43|2019-10-21|2019-10-27|All|647|||||183|38|2|||||198|24963||0.79||191|4|10||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|42|2019-10-14|2019-10-20|All|635|||||177|47|1|||||176|24674||0.71||166|11|3||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|41|2019-10-07|2019-10-13|All|522|||||156|32|0|||||207|25046||0.83||192|6|4||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|40|2019-09-30|2019-10-06|All|522|||||161|29|2|||||167|23824||0.70||166|7|7||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|39|2019-09-23|2019-09-29|All|338|||||107|16|1|||||155|30820||0.50||143|5|5||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|38|2019-09-16|2019-09-22|All|291|||||103|8|2|||||137|28731||0.48||127|3|6||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|37|2019-09-09|2019-09-15|All|285|||||92|7|3|||||89|30191||0.29||85|2|6||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|36|2019-09-02|2019-09-08|All|236|||||85|10|2|||||107|27798||0.38||99|4|7||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|35|2019-08-26|2019-09-01|All|189|||||59|6|1|||||97|29872||0.32||91|5|3||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|34|2019-08-19|2019-08-25|All|161|||||46|4|1|||||84|30118||0.28||80|6|4||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|33|2019-08-12|2019-08-18|All|172|||||53|3|1|||||77|29215||0.26||70|2|3||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|32|2019-08-05|2019-08-11|All|190|||||74|6|1|||||73|28998||0.25||68|2|3||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|31|2019-07-29|2019-08-04|All|183|||||65|5|0|||||76|21531||0.35||71|3|5||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|30|2019-07-22|2019-07-28|All|157|||||40|2|0|||||84|22560||0.37||79|1|7||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|29|2019-07-15|2019-07-21|All|182|||||51|6|1|||||91|23069||0.39||88|6|5||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|28|2019-07-08|2019-07-14|All|209|||||68|9|0|||||86|23975||0.36||80|2|7||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|27|2019-07-01|2019-07-07|All|247|||||94|13|1|||||92|24165||0.38||87|5|4||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|26|2019-06-24|2019-06-30|All|267|||||79|18|2|||||86|26670||0.32||79|6|4||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|25|2019-06-17|2019-06-23|All|272|||||83|14|2|||||74|27982||0.26||70|5|7||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|24|2019-06-10|2019-06-16|All|276|||||80|16|1|||||95|27922||0.34||88|8|4||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|23|2019-06-03|2019-06-09|All|276|||||95|22|0|||||102|27132||0.38||96|9|3||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|22|2019-05-27|2019-06-02|All|295|||||84|18|1|||||103|23676||0.44||96|9|10||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|21|2019-05-20|2019-05-26|All|368|||||124|42|0|||||136|24979||0.54||134|13|1||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|20|2019-05-13|2019-05-19|All|356|||||93|20|6|||||120|24199||0.50||114|13|6||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|19|2019-05-06|2019-05-12|All|331|||||91|24|2|||||111|21486||0.52||106|8|5||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|18|2019-04-29|2019-05-05|All|321|||||101|24|4|||||140|20449||0.68||132|15|2||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|17|2019-04-22|2019-04-28|All|471|||||146|37|0|||||177|26391||0.67||169|20|6||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|16|2019-04-15|2019-04-21|All|434|||||95|25|0|||||177|22768||0.78||172|28|7||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|15|2019-04-08|2019-04-14|All|839|||||227|85|2|||||231|29906||0.77||219|39|5||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|14|2019-04-01|2019-04-07|All|1036|||||288|108|2|||||276|30767||0.90||270|38|10||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|13|2019-03-25|2019-03-31|All|1108|||||314|97|4|||||292|29410||0.99||275|54|8||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|12|2019-03-18|2019-03-24|All|1180|||||255|83|1|||||339|26580||1.28||317|58|10||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|11|2019-03-11|2019-03-17|All|1343|||||323|141|2|||||357|29622||1.21||337|87|7||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|10|2019-03-04|2019-03-10|All|1438|||||359|139|4|||||385|29611||1.30||373|76|6||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|9|2019-02-25|2019-03-03|All|1488|||||414|150|4|||||431|25587||1.68||401|79|12||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|8|2019-02-18|2019-02-24|All|1627|||||446|192|3|||||433|27499||1.57||401|90|9||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|7|2019-02-11|2019-02-17|All|1782|||||496|138|11|||||531|26663||1.99||503|111|8||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|6|2019-02-04|2019-02-10|All|1754|||||474|150|11|||||528|24798||2.13||498|132|11||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|5|2019-01-28|2019-02-03|All|1747|||||485|157|5|||||582|23763||2.45||551|158|8||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|4|2019-01-21|2019-01-27|All|1870|||||531|184|7|||||503|24136||2.08||474|127|5||0||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|3|2019-01-14|2019-01-20|All|1685|||||513|163|6|||||567|22982||2.47||539|155|5||0||0.00|632540|||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|2|2019-01-07|2019-01-13|All|1515|||||492|162|8|||||602|22444||2.68||573|167|9||0||0.00|631726|||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2019|1|2018-12-31|2019-01-06|All|1026|||||412|140|1|||||414|17072||2.43||386|102|4||0||0.00|497784|||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|52|2018-12-24|2018-12-30|All|986|||||364|96|0|||||319|22000||1.45||287|69|||||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|51|2018-12-17|2018-12-23|All|1151|||||395|116|1|||||339|25617||1.32||313|82|||||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|50|2018-12-10|2018-12-16|All|1163|||||457|115|5|||||321|27427||1.17||309|63|||||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|49|2018-12-03|2018-12-09|All|1033|||||434|125|7|||||324|28474||1.14||316|64|||||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|48|2018-11-26|2018-12-02|All|1004|||||417|115|2|||||299|28015||1.07||290|59|||||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|47|2018-11-19|2018-11-25|All|878|||||343|85|1|||||313|26048||1.20||301|51|||||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|46|2018-11-12|2018-11-18|All|660|||||276|53|4|||||248|26846||0.92||242|41|||||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|45|2018-11-05|2018-11-11|All|724|||||320|71|4|||||239|27986||0.85||232|36|||||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|44|2018-10-29|2018-11-04|All|644|||||283|57|2|||||192|21659||0.89||182|22|||||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|43|2018-10-22|2018-10-28|All|656|||||257|79|1|||||198|24151||0.82||190|21|||||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|42|2018-10-15|2018-10-21|All|631|||||248|59|2|||||138|24418||0.57||129|16|||||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|41|2018-10-08|2018-10-14|All|573|||||230|42|0|||||142|24432||0.58||136|19|||||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|40|2018-10-01|2018-10-07|All|537|||||198|28|1|||||129|23821||0.54||126|12|||||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|39|2018-09-24|2018-09-30|All|409|||||173|31|0|||||104|28236||0.37||98|8|||||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|38|2018-09-17|2018-09-23|All|358|||||159|28|0|||||85|29014||0.29||82|3|||||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|37|2018-09-10|2018-09-16|All|378|||||137|16|0|||||100|28467||0.35||94|12|||||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|36|2018-09-03|2018-09-09|All|308|||||125|22|1|||||85|27300||0.31||80|8|||||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|35|2018-08-27|2018-09-02|All|263|||||99|14|1|||||72|25636||0.28||71|5|||||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|34|2018-08-20|2018-08-26|All|272|||||93|9|0|||||79|23581||0.34||78|13|||||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|33|2018-08-13|2018-08-19|All|233|||||82|15|5|||||74|22902||0.32||72|13|||||0.00||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|32|2018-08-06|2018-08-12|All|314|||||105|12|1|||||87|22692||0.38||84|10|||||0.00|290174|||||1225||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|31|2018-07-30|2018-08-05|All|329|||||108|20|0|||||92|22526||0.41||88|9|||||0.00|291089|||||1407||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|30|2018-07-23|2018-07-29|All|492|||||160|39|2|||||111|26991||0.41||106|28|||||0.00|321125|||||1455||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|29|2018-07-16|2018-07-22|All|673|||||184|57|0|||||128|28503||0.45||120|37|||||0.00|341158|||||1416||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|28|2018-07-09|2018-07-15|All|862|||||197|67|1|||||128|28568||0.45||112|38|||||0.00|348257|||||1437||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|27|2018-07-02|2018-07-08|All|761|||||191|68|0|||||91|28744||0.32||83|18|||||0.00|345307|||||1634||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|26|2018-06-25|2018-07-01|All|362|||||141|44|0|||||85|26520||0.32||76|4|||||0.00|346265|||||1433||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|25|2018-06-18|2018-06-24|All|275|||||103|19|1|||||99|27470||0.36||88|7|||||0.00|351992|||||1472||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|24|2018-06-11|2018-06-17|All|237|||||82|16|0|||||74|27690||0.27||64|3|||||0.00|356926|||||1453||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|23|2018-06-04|2018-06-10|All|233|||||104|15|0|||||96|29122||0.33||85|4|||||0.00|368127|||||1599||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|22|2018-05-28|2018-06-03|All|279|||||103|12|2|||||97|23399||0.41||86|5|||||0.00|383450|||||1541||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|21|2018-05-21|2018-05-27|All|263|||||108|9|2|||||96|23694||0.41||87|6|||||0.00|394856|||||1663||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|20|2018-05-14|2018-05-20|All|321|||||130|18|1|||||103|24021||0.43||95|4|||||0.00|411752|||||1714||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|19|2018-05-07|2018-05-13|All|274|||||113|7|1|||||96|22121||0.43||88|5|||||0.00|390339|||||1716||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|18|2018-04-30|2018-05-06|All|330|||||133|13|0|||||88|21303||0.41||80|5|||||0.00|376045|||||1789||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|17|2018-04-23|2018-04-29|All|328|||||147|19|1|||||118|26397||0.45||105|5|||||0.00|412556|||||1831||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|16|2018-04-16|2018-04-22|All|397|||||152|16|1|||||117|27827||0.42||108|7|||||0.00|436334|||||2032||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|15|2018-04-09|2018-04-15|All|421|||||156|30|0|||||115|26985||0.43||106|13|||||0.00|420620|||||2140||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|14|2018-04-02|2018-04-08|All|428|||||169|21|1|||||131|27326||0.48||117|6|||||0.00|447062|||||2128||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|13|2018-03-26|2018-04-01|All|416|||||155|18|0|||||130|23093||0.56||117|13|||||0.00|396706|||||2128||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|12|2018-03-19|2018-03-25|All|595|||||226|45|1|||||174|27253||0.64||155|16|||||0.00|479984|||||2406||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|11|2018-03-12|2018-03-18|All|685|||||251|46|0|||||186|30748||0.60||170|23|||||0.00|550288|||||2749||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|10|2018-03-05|2018-03-11|All|811|||||322|64|1|||||195|31548||0.62||178|27|||||0.00|564441|||||2680||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|9|2018-02-26|2018-03-04|All|841|||||305|68|3|||||191|24796||0.77||181|29|||||0.00|531047|||||2869||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|8|2018-02-19|2018-02-25|All|955|||||364|136|0|||||203|26887||0.76||188|38|||||0.00|580628|||||2813||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|7|2018-02-12|2018-02-18|All|1058|||||369|121|1|||||201|25745||0.78||188|45|||||0.00|581180|||||2971||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|6|2018-02-05|2018-02-11|All|1192|||||429|166|1|||||229|24704||0.93||212|40|||||0.00|570324|||||3063||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|5|2018-01-29|2018-02-04|All|1203|||||417|145|5|||||245|22164||1.11||223|58|||||0.00|636584|||||2921||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|4|2018-01-22|2018-01-28|All|1525|||||493|237|1|||||271|24447||1.11||251|69|||||0.00|706863|||||3146||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|3|2018-01-15|2018-01-21|All|1411|||||517|227|1|||||235|23664||0.99||221|53|||||0.00|672728|||||3140||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|2|2018-01-08|2018-01-14|All|1173|||||456|184|1|||||195|22589||0.86||176|49|||||0.00|648300|||||3224||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2018|1|2018-01-01|2018-01-07|All|854|||||362|128|4|||||154|17812||0.86||140|37|||||0.00|527679|||||3050||||||||
